"","a.Entr","a.Cruza","NormYield"
"241",646,"NOGAL/CD 104//CANINDE 11",148.679072850405
"242",667,"NOGAL/Itapúa 75//CANINDE 1",148.562419669539
"243",507,"Itapúa 45/Itapúa 40//ALSEN",147.037896497852
"244",173,"INIA DON ALBERTO/Itapúa 70",146.415332375192
"245",137,"CD 112/4/BABAX/LR42//BABAX*2/3/TUKURU",145.328167397022
"246",122,"Itapua 40/3/ITP35/PF84432//CORD4",144.6832
"247",291,"NOGAL/ALSEN",144.185918787934
"248",627,"NOGAL/KASORO3//CANINDE 1",141.745747964729
"249",406,"KRONSTAD F04/CATBIRD                                 ",139.70272
"250",398,"KRONSTAD F04/ITAPUA 65",139.16416
"251",501,"Itapúa 45/Itapúa 40//ALSEN",137.444193625909
"252",792,"Caninde 11//WBLL1*2/TUKURU",134.06848
"253",327,"NOGAL/CD 117",129.70906788916
"254",801,"WBLL4//BABAX.1B.1B*2/PRL/3/PASTOR/4/BABAX/LR42//BABAX/3/BABAX/LR42//BABAX",129.130283175499
"255",22,"CANINDE//MILAN/AMSEL",127.483696065179
"256",389,"KRONSTAD F04/ITAPUA 65",125.372024511666
"257",326,"NOGAL/CD 117",122.821902264783
"258",268,"NOGAL/CANINDE 3",121.676198517616
"259",315,"NOGAL/CD 117",118.352328594626
"260",35,"F3 DESC CRIA 2010",117.5
"261",7,"CANINDE 1//MILAN/AMSEL",115.265712268806
"262",603,"NOGAL/CANINDE 3//CD 150",114.679371073026
"263",172,"INIA DON ALBERTO/Itapúa 70",113.861234473129
"264",34,"F3 DESC CRIA 2010",111
"265",542,"ITAPUA 40/KURUKU//CD 118",108.08128
"266",648,"NOGAL//ITAPUA 55/E-92225/3/IAPAR 85",106.878233518802
"267",769,"CANINDE 1/ACA 901",105.409940746363
"268",755,"Itapúa 75//ITAPUA 40/KURUKU",101.721273802874
"269",575,"INIA DON ALBERTO/Itapúa 75",98.7674985992917
"270",806,"PSN/BOW//SERI/3/MILAN/4/ATTILA/5/BR 18",98.4265599999999
"271",36,"F3 DESC CRIA 2010",98
"272",838,"SHORTENED SR26 TRANSLOCATION//3*PBW65/2*PASTOR",98
"273",786,"CANINDE 3//E 92225/FCEP 30",97.6499199999998
"274",767,"CANINDE 1//\ND643/2*WBLL1",95.0723837950541
"275",211,"CANINDE 1/4/TRAP#1/BOW//PFAU/3/MILAN",94.4599318886944
"276",616,"NOGAL/CANINDE 3//CD 150",91.0518400000001
"277",768,"CANINDE 1/4/PRL/SARA//TSI/VEE#5/3/FINSI",90.4905600000002
"278",309,"NOGAL/CD 104",84.4159349907213
"279",841,"SWSR22T.B./2*BLOUK #1//WBLL1*2/KURUKU",82.2819215287291
"280",576,"INIA DON ALBERTO/Itapúa 75",81.6726400000002
"281",288,"NOGAL/ALSEN",81.3980355718436
"282",606,"NOGAL/CANINDE 3//CD 150",73.616
"283",425,"ND643/2*WBILL1//BR 18",71.8270138163125
"284",129,"ITAPUA 40/5/BABAX/LR42//BABAX*2/4/SIN/TRAP1/3KAUZ*2/TRAP/KAUZ",71.2651434615027
"285",259,"NOGAL/CANINDE 3",70.5187603536137
"286",757,"Itapúa 75//ITAPUA 40/KURUKU",69.6244880263134
"287",355,"WEEBILL2//KIRITATI/2*WBLL1",68.9086067245021
"288",814,"CD 150/3/WBLL4/KASO2//PASTOR",68.6524799999997
"289",334,"PFAU/MILAN/3/BABAX/LR42//BABAX/4/Itapúa 70",65.7356799999993
"290",86,"PARULA/CD 104",65.6976
"291",85,"PARULA/CD 104",65.6369777932423
"292",797,"Caninde 12/4/BABAX/PASTOR/3/KAUZ*2/YACO//KAUZ",63.1836397390302
"293",91,"PARULA/CD 104",62.4230403812739
"294",409,"KRONSTAD F04/CATBIRD                                 ",62.2149028191075
"295",9,"CANINDE 1//MILAN/AMSEL",61.6829876169581
"296",649,"NOGAL/Itapúa 70//CANINDE 1",60.4839614928874
"297",719,"Itapua 40//ITAPUA 40/KURUKU",60.2380383517229
"298",8,"CANINDE 1//MILAN/AMSEL",58.1877228146232
"299",561,"ITAPUA 45/CORDILLERA 4//ITAPUA 70",56.8817636118984
"300",166,"INIA DON ALBERTO/Itapúa 70",56.0841599999999
"301",723,"Itapua 40//ITAPUA-50/ITAPUA-40 ",54.5768310830017
"302",352,"ITAPUA 75/PEWIT1",53.0102399999996
"303",24,"WBLL2//MILAN/AMSEL",52.6553430932399
"304",505,"Itapúa 45/Itapúa 40//ALSEN",49.6635744483719
"305",465,"NOGAL/CD 104",49.5529027278844
"306",188,"S09/ALSEN",48.3190399999999
"307",424,"ND643/2*WBILL1//BR 18",44.2972800000002
"308",44,"WBLL2/4/BABAX/LR42//BABAX/3/BABAX/LR42",44.18932811588
"309",412,"KRONSTAD F04/ITAPUA 70",43.55456
"310",59,"ONIX//MILAN/AMSEL",43.5121217180772
"311",292,"NOGAL/ALSEN",43.0649600000002
"312",802,"WBLL4//BABAX.1B.1B*2/PRL/3/PASTOR/4/SOROCA",39.5270399999999
"313",624,"NOGAL/KASORO3//CANINDE 1",39.384
"314",614,"NOGAL/CANINDE 3//CD 150",38.61472
"315",372,"BRS GUAMIRIN/CATBIRD                                 ",37.4524799999999
"316",472,"NOGAL/CD 117",37.2925628670805
"317",789,"CANINDE 3/N002",34.5439703245565
"318",184,"NOGAL/BRS 229",30.9158400000001
"319",428,"ND643/4/2*SERI.1B*2/3/KAUZ*2/BOW//KAUZ/5/BRS GUAMIRIN",30.0364800000002
"320",481,"NOGAL/4/TRAP#1/BOW//PFAU/3/MILAN",26.8503906151445
"321",761,"Itapúa 75/4/PRL/SARA//TSI/VEE#5/3/FINSI",25.1545893201455
"322",645,"NOGAL/CD 104//CANINDE 11",24.1087813698991
"323",169,"INIA DON ALBERTO/Itapúa 70",23.0590471569749
"324",681,"NOGAL/Itapúa 75//CANINDE 1",21.6514126133466
"325",127,"ITAPUA 40/PEWIT1",19.7064188288678
"326",731,"ITAPUA 65/4/BABAX/PASTOR/3/KAUZ*2/YACO//KAUZ",15.4946528809328
"327",594,"BRS LAURO/PEWIT 1//CD 104",15.3273600000002
"328",387,"KRONSTAD F04/ITAPUA 65",15.1183321248313
"329",133,"ITAPUA 75/5/BABAX/LR42//BABAX*2/4/SIN/TRAP1/3KAUZ*2/TRAP/KAUZ",14
"330",856,"ND643/2*WBLL1/3/KIRITATI//2*PRL/2*PASTOR/4/BECARD",10
"331",808,"CD 116//ITAPUA-50/ITAPUA-40 ",8.9075200000002
"332",791,"CANINDE 3/N002",6.10908108218473
"333",619,"NOGAL/KASORO3//CANINDE 1",3.17144000705412
"334",754,"Itapúa 75/CD 104",2.35392000000002
"335",411,"KRONSTAD F04/ITAPUA 70",1.59000613825538
"336",214,"CANINDE 1/CD 150",1.54464000000007
"337",671,"NOGAL/Itapúa 75//CANINDE 1",1.53849045419884
"338",640,"CD 150",2.27373675443232e-12
"339",690,"CD 150",2.27373675443232e-12
"340",40,"CD 150",1.36424205265939e-12
"341",400,"DON ALBERTO",9.09494701772928e-13
"342",830,"CANINDE 21",9.09494701772928e-13
"343",60,"ITAPUA 75",4.54747350886464e-13
"344",90,"CD 150",4.54747350886464e-13
"345",390,"CD 150",4.54747350886464e-13
"346",430,"CANINDE 21",4.54747350886464e-13
"347",460,"ITAPUA 75",4.54747350886464e-13
"348",550,"DON ALBERTO",4.54747350886464e-13
"349",650,"DON ALBERTO",4.54747350886464e-13
"350",740,"CD 150",4.54747350886464e-13
"351",760,"ITAPUA 75",4.54747350886464e-13
"352",10,"ITAPUA 75",0
"353",30,"CANINDE 21",0
"354",50,"DON ALBERTO",0
"355",70,"ITAPUA 85",0
"356",110,"ITAPUA 75",0
"357",120,"ITAPUA 85",0
"358",130,"CANINDE 21",0
"359",160,"ITAPUA 75",0
"360",170,"ITAPUA 85",0
"361",180,"CANINDE 21",0
"362",200,"DON ALBERTO",0
"363",210,"ITAPUA 75",0
"364",220,"ITAPUA 85",0
"365",230,"CANINDE 21",0
"366",250,"DON ALBERTO",0
"367",260,"ITAPUA 75",0
"368",270,"ITAPUA 85",0
"369",280,"CANINDE 21",0
"370",300,"DON ALBERTO",0
"371",310,"ITAPUA 75",0
"372",320,"ITAPUA 85",0
"373",330,"CANINDE 21",0
"374",360,"ITAPUA 75",0
"375",380,"CANINDE 21",0
"376",410,"ITAPUA 75",0
"377",420,"ITAPUA 85",0
"378",470,"ITAPUA 85",0
"379",480,"CANINDE 21",0
"380",500,"DON ALBERTO",0
"381",510,"ITAPUA 75",0
"382",520,"ITAPUA 85",0
"383",530,"CANINDE 21",0
"384",540,"CD 150",0
"385",560,"ITAPUA 75",0
"386",570,"ITAPUA 85",0
"387",580,"CANINDE 21",0
"388",590,"CD 150",0
"389",600,"DON ALBERTO",0
"390",610,"ITAPUA 75",0
"391",620,"ITAPUA 85",0
"392",630,"CANINDE 21",0
"393",670,"ITAPUA 85",0
"394",680,"CANINDE 21",0
"395",700,"DON ALBERTO",0
"396",710,"ITAPUA 75",0
"397",730,"CANINDE 21",0
"398",750,"DON ALBERTO",0
"399",780,"CANINDE 21",0
"400",790,"CD 150",0
"401",800,"DON ALBERTO",0
"402",810,"ITAPUA 75",0
"403",820,"ITAPUA 85",0
"404",840,"CD 150",0
"405",860,"ITAPUA 75",0
"406",870,"ITAPUA 85",0
"407",880,"CANINDE 21",0
"408",900,"DON ALBERTO",0
"409",150,"DON ALBERTO",-4.54747350886464e-13
"410",290,"CD 150",-4.54747350886464e-13
"411",370,"ITAPUA 85",-4.54747350886464e-13
"412",450,"DON ALBERTO",-4.54747350886464e-13
"413",720,"ITAPUA 85",-4.54747350886464e-13
"414",770,"ITAPUA 85",-4.54747350886464e-13
"415",20,"ITAPUA 85",-9.09494701772928e-13
"416",100,"DON ALBERTO",-9.09494701772928e-13
"417",140,"CD 150",-9.09494701772928e-13
"418",190,"CD 150",-9.09494701772928e-13
"419",240,"CD 150",-9.09494701772928e-13
"420",440,"CD 150",-9.09494701772928e-13
"421",490,"CD 150",-9.09494701772928e-13
"422",850,"DON ALBERTO",-9.09494701772928e-13
"423",890,"CD 150",-9.09494701772928e-13
"424",910,"ITAPUA 75",-9.09494701772928e-13
"425",80,"CANINDE 21",-1.36424205265939e-12
"426",340,"CD 150",-1.36424205265939e-12
