Entr,Row,Col,05-Aug,04-Sep,Cruza,Historial,Peso,Humedad,Percent1,Percent2,KgHa,t
827,17,43,,,"PFAU/WEAVER*2//TRANSFER#12,P88.272.2*2/4/CHIBIA//PRLII/CM65531/3/SKAUZ/BAV92",CMSS08B00966T-099TOPY-099M-099Y-099B-39RGY,1125,162,88,92,3670,x
828,17,44,,,ND643//2*PRL/2*PASTOR/3/HEILO,CMSS08Y00540S-099Y-099M-099Y-099B-9RGY,783,154,61,64,2554,
829,17,45,,1,WAXWING*2/TUKURU//HEILO,CMSS08Y00564S-099Y-099M-099Y-099B-12RGY,1071,149,84,88,3494,x
830,17,46,,,CANINDE 21,,1276,159,100,,4162,
831,17,47,,1,VILLA JUAREZ F2009/HEILO,CMSS08Y00570S-099Y-099M-099Y-099B-14RGY,1083,157,85,95,3533,x
832,17,48,,,ND643/2*WBLL1//KACHU,CMSS08Y00235S-099Y-099M-099NJ-099NJ-4WGY-0B,852,147,67,75,2780,
833,17,49,,,CHONTE//KIRITATI/2*TRCH,CMSS08Y00316S-099Y-099M-099NJ-17WGY-0B,865,140,68,76,2822,
834,18,49,,1,MUNAL*2/WESTONIA,CMSS08Y00833T-099TOPM-099Y-099M-099NJ-099NJ-11WGY-0B,903,136,71,79,2946,x
835,18,48,,,ROLF07*2/SHORTENED SR26 TRANSLOCATION,CMSS08Y00842T-099TOPM-099Y-099M-099Y-12M-0WGY,1019,150,80,90,3324,
836,18,47,,,BAJ #1/2*CHYAK1,CMSS08Y00911T-099TOPM-099Y-099M-099NJ-099NJ-13WGY-0B,549,154,55,48,1791,
837,18,46,,1,SWSR22T.B./KACHU//2*KACHU,CMSS08Y01088T-099M-099Y-099M-099NJ-5WGY-0B,1082,154,109,95,3530,x
838,18,45,,1,SHORTENED SR26 TRANSLOCATION//3*PBW65/2*PASTOR,CMSS08Y01095T-099M-099Y-099M-099Y-25M-0WGY,1187,152,119,104,3872,x
839,18,44,,,SHORTENED SR26 TRANSLOCATION//2*WBLL1*2/KKTS/3/BECARD,CMSS08Y01115T-099M-099Y-099M-099NJ-14WGY-0B,1127,155,113,99,3676,
840,18,43,,,CD 150,,997,162,100,,3252,
841,18,42,,1,SWSR22T.B./2*BLOUK #1//WBLL1*2/KURUKU,CMSS08Y01116T-099M-099Y-099M-099NJ-099NJ-23WGY-0B,1041,166,104,98,3395,
842,18,41,,1,KRONSTAD F2004//ND643/2*WBLL1/3/WHEAR/KRONSTAD F2004,CMSS08B00607T-099TOPY-099M-099NJ-099NJ-10WGY-0B,1033,156,104,97,3370,
843,18,40,,,KIRITATI//2*PRL/2*PASTOR/3/CHONTE/5/PRL/2*PASTOR/4/CHOIX/STAR/3/HE1/3*CNO79//2*SERI,CMSS08B00732T-099TOPY-099M-099Y-6M-0WGY,816,154,82,77,2662,
844,18,39,,,KIRITATI//HUW234+LR34/PRINIA/3/CHONTE/5/PRL/2*PASTOR/4/CHOIX/STAR/3/HE1/3*CNO79//2*SERI,CMSS08B00736T-099TOPY-099M-099NJ-099NJ-1WGY-0B,787,149,79,74,2567,
845,18,38,,,ND643/2*WBLL1//2*KACHU,CMSS08B00771T-099TOPY-099M-099NJ-099NJ-21WGY-0B,854,150,86,81,2786,
846,18,37,,,PFAU/MILAN/5/CHEN/AEGILOPS SQUARROSA (TAUS)//BCN/3/VEE#7/BOW/4/PASTOR/6/2*BAVIS #1,CMSS08B00792T-099TOPY-099M-099Y-6M-0WGY,832,153,74,78,2714,
847,18,36,,,PAURAQ//ND643/2*WBLL1/3/PAURAQUE #1,CMSS08B00840T-099TOPY-099M-099NJ-099NJ-19WGY-0B,760,151,68,72,2479,
