Entr,Row,Col,05-Aug,04-Sep,Cruza,Historial,Peso,Humedad,Percent1,Percent2,KgHa,t
248,6,47,,,NOGAL/CANINDE 3,CP09382-3E-2E-9E,926,181,82,86,3020,
249,6,46,,,NOGAL/CANINDE 3,CP09382-3E-3E-3E,1030,167,91,96,3360,
250,6,45,,,DON ALBERTO,,1128,162,100,,3679,
251,6,44,,,NOGAL/CANINDE 3,CP09382-3E-3E-4E,850,159,75,72,2773,
252,6,43,,s,NOGAL/CANINDE 3,CP09382-3E-3E-5E,1124,187,100,95,3665,
253,6,42,,,NOGAL/CANINDE 3,CP09382-3E-3E-8E,958,186,85,81,3124,
254,6,41,1,2,NOGAL/CANINDE 3,CP09382-3E-3E-11E,1239,157,110,104,4042,x
255,6,40,1,2,NOGAL/CANINDE 3,CP09382-3E-4E-1E,1138,148,101,96,3713,x
256,6,39,1,2,NOGAL/CANINDE 3,CP09382-3E-4E-2E,1184,161,95,100,3862,x
257,6,38,1,2,NOGAL/CANINDE 3,CP09382-3E-4E-4E,1214,137,98,102,3961,x
258,6,37,1,2,NOGAL/CANINDE 3,CP09382-3E-4E-5E,1260,172,101,106,4109,x
259,6,36,1,2,NOGAL/CANINDE 3,CP09382-3E-4E-6E,1163,152,93,98,3794,x
260,6,35,,,ITAPUA 75,,1245,140,100,,4062,
261,6,34,1,,NOGAL/CANINDE 3,CP09382-5E-2E-1E,1250,157,100,102,4078,x
262,6,33,1,2,NOGAL/CANINDE 3,CP09382-5E-2E-2E,1282,169,103,104,4181,x
263,6,32,1,2,NOGAL/CANINDE 3,CP09382-5E-2E-3E,1208,163,97,98,3940,x
264,6,31,1,2,NOGAL/CANINDE 3,CP09382-5E-2E-4E,1411,167,113,115,4602,x
265,6,30,,1,NOGAL/CANINDE 3,CP09382-6E-3E-1E,1272,169,102,104,4149,x
266,6,29,,1,NOGAL/CANINDE 3,CP09382-8E-5E-4E,1180,165,97,96,3849,x
267,6,28,,,NOGAL/CANINDE 3,CP09382-9E-6E-8E,1098,151,91,89,3582,
268,6,27,,1,NOGAL/CANINDE 3,CP09382-10E-4E-3E,1237,159,102,101,4035,x
269,6,26,1,1,NOGAL/CANINDE 3,CP09382-10E-4E-4E,1052,162,87,86,3431,x
270,6,25,,,ITAPUA 85,,1212,156,100,,3954,
271,6,24,,1,NOGAL/CANINDE 3,CP09382-10E-9E-1E,1301,150,107,99,4244,x
272,6,23,,,NOGAL/KASORO3,CP09384-3E-5E-1E,1028,173,85,79,3353,
273,6,22,,s,NOGAL/KASORO3,CP09384-3E-5E-5E,1079,166,89,82,3519,
274,6,21,,,NOGAL/KASORO3,CP09384-4E-2E-3E,1072,168,88,82,3496,
275,6,20,,,NOGAL/KASORO3,CP09384-4E-2E-5E,1045,167,86,80,3408,
276,6,19,,,NOGAL/KASORO3,CP09384-4E-2E-6E,916,163,65,70,2988,
277,6,18,,s,NOGAL/KASORO3,CP09384-4E-2E-12E,1020,169,73,78,3327,
278,6,17,,s,NOGAL/ALSEN,CP09385-2E-2E-1E,946,157,67,72,3086,
279,6,16,,1,NOGAL/ALSEN,CP09385-2E-2E-2E,975,158,69,75,3180,
280,6,15,,,CANINDE 21,,1405,169,100,,4583,
281,6,14,,1,NOGAL/ALSEN,CP09385-3E-4E-5E,1147,156,82,90,3742,x
282,6,13,,1,NOGAL/ALSEN,CP09385-3E-4E-6E,1404,158,100,111,4580,x
283,6,12,,1,NOGAL/ALSEN,CP09385-2E-3E-5E,1443,167,103,114,4707,x
284,6,11,,2,NOGAL/ALSEN,CP09385-2E-4E-3E,1303,221,93,103,4247,x
285,6,10,,2,NOGAL/ALSEN,CP09385-2E-4E-5E,1357,244,96,107,4422,x
286,6,9,,2,NOGAL/ALSEN,CP09385-2E-4E-6E,1357,174,120,107,4426,x
287,6,8,,1,NOGAL/ALSEN,CP09385-2E-4E-11E,1258,230,111,99,4100,x
288,6,7,,1,NOGAL/ALSEN,CP09385-2E-4E-12E,1240,226,109,98,4042,x
289,6,6,,1,NOGAL/ALSEN,CP09385-2E-7E-3E,1256,189,111,99,4096,x
290,6,5,,,CD 150,,1136,216,100,,3703,
291,6,4,,1,NOGAL/ALSEN,CP09385-2E-7E-4E,1227,198,108,104,4001,x
292,6,3,,1,NOGAL/ALSEN,CP09385-2E-7E-5E,1228,231,108,104,4002,x
293,6,2,,,NOGAL/ALSEN,CP09385-2E-7E-6E,1308,198,115,111,4265,x
294,6,1,,,NOGAL/ALSEN,CP09385-2E-7E-7E,996,154,88,84,3249,
295,7,1,,2,NOGAL/ALSEN,CP09385-3E-1E-2E,1461,179,129,124,4765,x
296,7,2,,1,NOGAL/ALSEN,CP09385-3E-1E-3E,1312,154,107,111,4280,x
297,7,3,,2,NOGAL/ALSEN,CP09385-3E-1E-4E,1419,181,115,120,4628,x
298,7,4,,2,NOGAL/ALSEN,CP09385-3E-1E-5E,1504,179,122,127,4905,x
299,7,5,,2,NOGAL/ALSEN,CP09385-3E-1E-6E,1414,179,115,120,4611,x
300,7,6,,,DON ALBERTO,,1230,198,100,,4010,
301,7,7,,1,NOGAL/ALSEN,CP09385-3E-1E-8E,1265,197,103,104,4125,x
302,7,8,,1,NOGAL/ALSEN,CP09385-3E-1E-10E,1365,166,111,112,4452,x
303,7,9,,2,NOGAL/ALSEN,CP09385-3E-1E-11E,1547,202,126,127,5044,x
304,7,10,,1,NOGAL/ALSEN,CP09385-4E-1E-1E,1512,163,123,124,4932,x
305,7,11,seg,1,NOGAL/ALSEN,CP09385-4E-2E-1E,1412,19,115,116,4613,x
306,7,12,,1,NOGAL/ALSEN,CP09385-4E-2E-3E,1462,177,121,120,4768,x
307,7,13,,2,NOGAL/ALSEN,CP09385-4E-2E-4E,1543,156,127,126,5033,x
308,7,14,,1,NOGAL/ALSEN,CP09385-5E-1E-3E,1287,143,106,105,4199,x
309,7,15,,1,NOGAL/CD 104,CP09386-8E-5E-2E,1209,152,100,99,3944,x
310,7,16,,,ITAPUA 75,,1211,151,100,,3951,
311,7,17,,1,NOGAL/CD 104,CP09386-8E-5E-4E,1281,160,106,101,4179,x
312,7,18,,1,NOGAL/CD 104,CP09386-8E-5E-5E,1285,152,106,101,4192,x
313,7,19,,,NOGAL/CD 117,CP09392-1E-7E-4E,1286,160,106,101,4195,x
314,7,20,,,NOGAL/CD 117,CP09392-1E-7E-9E,1192,146,98,94,3889,x
315,7,21,,,NOGAL/CD 117,CP09392-2E-5E-1E,1204,149,99,95,3928,x
316,7,22,,,NOGAL/CD 117,CP09392-2E-5E-2E,1012,157,76,80,3301,
317,7,23,,,NOGAL/CD 117,CP09392-2E-7E-2E,1154,162,87,91,3764,x
318,7,24,,,NOGAL/CD 117,CP09392-2E-7E-3E,1084,142,81,85,3537,x
319,7,25,,,NOGAL/CD 117,CP09392-2E-7E-6E,1178,152,89,93,3843,x
320,7,26,,,ITAPUA 85,,1331,160,100,,4342,
321,7,27,,s,NOGAL/CD 117,CP09392-3E-4E-1E,1162,133,87,90,3792,x
322,7,28,,,NOGAL/CD 117,CP09392-3E-4E-2E,1218,151,92,94,3973,x
323,7,29,,s,NOGAL/CD 117,CP09392-3E-4E-3E,1303,154,98,101,4251,x
324,7,30,,s,NOGAL/CD 117,CP09392-3E-4E-4E,1278,154,96,99,4169,x
325,7,31,,s,NOGAL/CD 117,CP09392-3E-4E-5E,1341,167,101,104,4374,x
326,7,32,,1,NOGAL/CD 117,CP09392-3E-4E-10E,1279,152,103,99,4172,x
327,7,33,,,NOGAL/CD 117,CP09392-4E-2E-2E,1235,162,99,96,4028,x
328,7,34,,,NOGAL/CD 117,CP09392-9E-3E-8E,935,168,75,73,3050,
329,7,35,,1,NOGAL/CD 117,CP09392-10E-4E-2E,1376,174,110,107,4488,x
330,7,36,,,CANINDE 21,,1247,152,100,,4068,
331,7,37,,1,NOGAL/CD 117,CP09392-10E-4E-4E,1440,167,115,134,4697,x
332,7,38,,1,NOGAL/CD 117,CP09392-10E-4E-6E,1479,174,119,138,4824,x
333,7,39,,1,NOGAL/4/TRAP#1/BOW//PFAU/3/MILAN,CP09394-1E-1E-6E,1283,172,103,119,4184,x
334,7,40,,1,PFAU/MILAN/3/BABAX/LR42//BABAX/4/Itapúa 70,CP09434-1E-3E-2E,1205,170,97,112,3930,x
335,7,41,,1,S09/CD 114,CP09454-2E-1E-1E,1230,154,99,115,4012,x
336,7,42,,,S09/CD 114,CP09454-2E-1E-2E,987,175,110,92,3219,
337,7,43,,,S09/CD 114,CP09454-2E-1E-4E,1079,183,120,100,3519,x
338,7,44,,,S09/CD 114,CP09454-2E-1E-5E,1123,171,125,105,3663,x
339,7,45,,1,S09/CD 114,CP09454-2E-3E-2E,1071,168,119,100,3493,
340,7,46,,,CD 150,,901,159,100,,2939,
341,7,47,,,S09/CD 114,CP09454-2E-3E-3E,1031,163,114,110,3363,
342,7,48,,1,S09/CD 114,CP09454-2E-3E-5E,1037,161,115,111,3383,
343,7,49,,,S09/CD 114,CP09454-2E-4E-2E,1062,171,118,114,3464,
344,8,49,,,S09/CD 114,CP09454-2E-4E-3E,855,153,95,91,2789,
345,8,48,,,ITAPUA 40      /PEWIT1,CP08001-7E-4E-3E,897,141,100,96,2927,
346,8,47,,,ITAPUA 40      /PEWIT1,CP08001-8E-5E-3E,938,173,97,100,3059,
347,8,46,,,ITAPUA 40      /PEWIT1,CP08001-10E-7E-8E,884,137,91,95,2884,
348,8,45,,,ITAPUA 40      /PEWIT1,CP08001-10E-7E-9E,853,181,88,91,2782,
349,8,44,,,ITAPUA 40      /PEWIT1,CP08001-10E-7E-10E,947,143,98,101,3090,
350,8,43,,,DON ALBERTO,,968,155,100,,3158,
351,8,42,,,ITAPUA 75/PEWIT1,CP08084-2E-1E-1E,960,154,99,94,3132,
352,8,41,,,ITAPUA 75/PEWIT1,CP08084-3E-1E-2E,1117,145,115,109,3644,x
353,8,40,,1,ITAPUA 75/PEWIT1,CP08084-3E-1E-3E,1166,162,120,114,3803,x
354,8,39,,1,ITAPUA 75/PEWIT1,CP08084-3E-1E-4E,1194,144,123,116,3895,x
355,8,38,,1,WEEBILL2//KIRITATI/2*WBLL1,CP08132-22E-1E-2E,1191,169,123,116,3885,x
356,8,37,,1,WBLL4//BABAX.1B.1B*2/PRL/3/PASTOR/4/ITAPUA 40      ,CP08187-8E-6E-2E,1001,159,92,98,3265,x
357,8,36,,1,BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/ITAPUA 70,CP08212-12E-6E-2E,1129,171,104,110,3682,x
358,8,35,,1,BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/CANINDE 1,CP08214-1E-4E-3E,1062,156,98,103,3464,
359,8,34,,1,BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/CANINDE 1,CP08214-1E-4E-4E,972,160,90,95,3171,
360,8,33,,1,ITAPUA 75,,1085,162,100,,3539,
361,8,32,,1,BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/CANINDE 1,CP08214-1E-4E-6E,1065,169,98,98,3474,
362,8,31,,1,BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/CANINDE 1,CP08214-1E-4E-8E,1001,156,92,92,3265,
363,8,30,,1,BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/PARAGUA CIAT,CP08216-7E-3E-3E,1124,178,104,104,3666,x
364,8,29,,1,BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/FUNDACEP 30,CP08221-4E-1E-3E,1088,154,100,100,3549,x
365,8,28,,1,BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/FUNDACEP 30,CP08221-4E-1E-7E,1101,167,101,102,3591,x
366,8,27,,,BRS GUAMIRIN/ITAPUA 65,CP08244-5E-7E-1E,996,150,92,92,3249,
367,8,26,,,BRS GUAMIRIN/ITAPUA 65,CP08244-6E-1E-1E,973,188,90,90,3173,
368,8,25,,,BRS GUAMIRIN/ITAPUA 65,CP08244-6E-1E-4E,947,176,87,87,3088,
369,8,24,,,BRS GUAMIRIN/ITAPUA 65,CP08244-6E-1E-7E,786,179,73,73,2563,
370,8,23,,,ITAPUA 85,,1082,150,100,,3530,
371,8,22,,1,BRS GUAMIRIN/CATBIRD                                 ,CP08245-4E-3E-3E,992,205,92,88,3234,
372,8,21,,s,BRS GUAMIRIN/CATBIRD                                 ,CP08245-4E-3E-7E,1059,191,98,94,3453,
373,8,20,,s,BRS GUAMIRIN/CATBIRD                                 ,CP08245-4E-7E-3E,981,160,91,87,3200,
374,8,19,,,BRS GUAMIRIN/CANINDE 3,CP08246-3E-3E-2E,1044,172,96,93,3405,
375,8,18,,1,BRS GUAMIRIN/CANINDE 3,CP08246-3E-7E-1E,1064,159,98,95,3471,
376,8,17,,1,BRS GUAMIRIN/CANINDE 3,CP08246-3E-7E-2E,1150,182,99,102,3750,x
377,8,16,,,BRS GUAMIRIN/CANINDE 3,CP08246-5E-3E-4E,891,165,77,79,2906,
378,8,15,,,BRS GUAMIRIN/CANINDE 3,CP08246-6E-7E-2E,994,185,86,89,3241,
379,8,14,,,BRS GUAMIRIN/CANINDE 3,CP08246-6E-7E-4E,977,184,84,87,3186,
380,8,13,,,CANINDE 21,,1162,192,100,,3789,
381,8,12,,,BRS GUAMIRIN/CANINDE 3,CP08246-6E-7E-8E,973,148,84,89,3174,
382,8,11,,s,BRS GUAMIRIN/CANINDE 1,CP08248-2E-3E-1E,913,201,79,83,2977,
383,8,10,,,BRS GUAMIRIN/CANINDE 1,CP08248-4E-1E-1E,1006,181,87,92,3281,
384,8,9,,s,BRS GUAMIRIN/CANINDE 1,CP08248-4E-1E-2E,1067,192,92,97,3479,
385,8,8,,,BRS GUAMIRIN/CANINDE 1,CP08248-4E-1E-4E,994,195,86,90,3241,
386,8,7,,,KRONSTAD F04/ITAPUA 65,CP08252-3E-8E-3E,1160,182,112,106,3783,x
387,8,6,,1,KRONSTAD F04/ITAPUA 65,CP08252-3E-8E-5E,1024,186,99,93,3339,
388,8,5,,1,KRONSTAD F04/ITAPUA 65,CP08252-4E-2E-2E,1074,175,104,98,3503,x
389,8,4,,,KRONSTAD F04/ITAPUA 65,CP08252-4E-2E-6E,1102,253,106,100,3591,x
390,8,3,,,CD 150,,1036,180,100,,3379,
391,8,2,,,KRONSTAD F04/ITAPUA 65,CP08252-4E-3E-2E,1040,177,100,88,3392,
392,8,1,,1,KRONSTAD F04/ITAPUA 65,CP08252-4E-3E-6E,1042,170,101,88,3399,
393,9,1,,,KRONSTAD F04/ITAPUA 65,CP08252-4E-3E-8E,1127,183,109,95,3675,
394,9,2,,,KRONSTAD F04/ITAPUA 65,CP08252-4E-5E-9E,1111,171,107,94,3624,
395,9,3,,,KRONSTAD F04/ITAPUA 65,CP08252-4E-5E-13E,1157,215,112,98,3772,x
396,9,4,,s,KRONSTAD F04/ITAPUA 65,CP08252-4E-5E-14E,1187,145,89,100,3873,x
397,9,5,,,KRONSTAD F04/ITAPUA 65,CP08252-4E-5E-17E,1066,168,80,90,3477,
398,9,6,,s,KRONSTAD F04/ITAPUA 65,CP08252-5E-1E-1E,1211,166,91,102,3950,x
399,9,7,,,KRONSTAD F04/ITAPUA 65,CP08252-5E-1E-4E,1085,190,81,92,3538,
400,9,8,,,DON ALBERTO,,1333,180,100,,4347,2868-4347
401,9,9,,,KRONSTAD F04/ITAPUA 65,CP08252-5E-1E-5E,1171,203,88,97,3818,x
402,9,10,,,KRONSTAD F04/ITAPUA 65,CP08252-9E-2E-6E,1329,223,100,110,4332,x
403,9,11,,,KRONSTAD F04/ITAPUA 65,CP08252-9E-2E-7E,1143,186,86,94,3727,
404,9,12,,,KRONSTAD F04/ITAPUA 65,CP08252-9E-5E-3E,1235,165,93,102,4028,x
405,9,13,,,KRONSTAD F04/ITAPUA 65,CP08252-10E-2E-9E,1128,165,85,93,3679,
406,9,14,,,KRONSTAD F04/CATBIRD                                 ,CP08253-1E-1E-4E,1146,179,105,95,3737,
407,9,15,,1,KRONSTAD F04/CATBIRD                                 ,CP08253-4E-2E-4E,1056,182,97,87,3444,x
408,9,16,,1,KRONSTAD F04/CATBIRD                                 ,CP08253-4E-2E-8E,999,171,92,82,3258,
409,9,17,,,KRONSTAD F04/CATBIRD                                 ,CP08253-4E-8E-5E,1084,178,99,89,3535,
410,9,18,,,ITAPUA 75,,1090,169,100,,3555,
411,9,19,,s,KRONSTAD F04/ITAPUA 70,CP08255-2E-1E-2E,1065,158,98,96,3474,
412,9,20,,s,KRONSTAD F04/ITAPUA 70,CP08255-2E-1E-3E,1057,173,97,95,3447,
413,9,21,,,TOLLOCAN F05/5/BABAX/LR42//BABAX*2/4/SIN/TRAP1/3KAUZ*2/TRAP/KAUZ,CP08269-1E-1E-2E,1149,158,105,104,3748,x
414,9,22,,,ND643/2*WBILL1//CANINDE 1,CP08278-6E-2E-1E,1049,138,96,95,3423,
415,9,23,,,ND643/2*WBILL1//ITAPUA 75,CP08289-10E-2E-1E,1096,125,101,99,3577,
416,9,24,,1,ND643/2*WBILL1//ITAPUA 75,CP08289-10E-2E-3E,1142,156,102,103,3725,x
417,9,25,,,ND643/2*WBILL1//ITAPUA 75,CP08289-10E-2E-4E,989,135,88,89,3227,
418,9,26,,,ND643/2*WBILL1//ITAPUA 40      ,CP08298-4E-3E-4E,890,173,79,80,2903,
419,9,27,,s,ND643/2*WBILL1//ITAPUA 40      ,CP08298-5E-2E-13E,1081,167,96,98,3526,
420,9,28,,,ITAPUA 85,,1125,147,100,,3670,
421,9,29,,,ND643/2*WBILL1//ITAPUA 40      ,CP08298-5E-2E-14E,998,152,89,92,3256,
422,9,30,,,ND643/2*WBILL1//ITAPUA 40      ,CP08298-5E-4E-10E,1006,148,89,92,3282,
423,9,31,,,ND643/2*WBILL1//ITAPUA 40      ,CP08298-5E-4E-11E,1041,150,93,96,3396,
424,9,32,,s,ND643/2*WBILL1//BR 18,CP08306-1E-1E-1E,1140,152,101,105,3719,x
425,9,33,,,ND643/2*WBILL1//BR 18,CP08306-1E-1E-2E,1103,152,98,101,3598,x
426,9,34,,,ND643/2*WBILL1//BR 18,CP08306-5E-5E-2E,1106,161,105,102,3608,x
427,9,35,,,ND643/2*WBILL1//PF 953048/IAPAR 18,CP08311-2E-7E-1E,999,160,95,92,3259,
428,9,36,,,ND643/4/2*SERI.1B*2/3/KAUZ*2/BOW//KAUZ/5/BRS GUAMIRIN,CP08348-3E-2E-1E,1106,113,105,102,3610,x
429,9,37,,,KIRITATI/2*WBLL1//ITAPUA 40      ,CP08349-4E-3E-5E,1034,148,98,95,3373,
430,9,38,,,CANINDE 21,,1052,151,100,,3432,
431,9,39,,s,KIRITATI/2*WBLL1//ITAPUA 40      ,CP08349-4E-3E-6E,1040,148,99,106,3393,
432,9,40,,,KIRITATI/2*WBLL1//ITAPUA 65,CP08351-3E-8E-5E,920,149,87,94,3001,
433,9,41,,,KIRITATI/2*WBLL1//Cord 3,CP08353-2E-1E-3E,879,152,84,90,2867,
434,9,42,,,SAAR//PBW343*2/KUKUNA/3/EMBRAPA 120,CP08382-2E-8E-5E,914,154,87,93,2982,
435,9,43,,,SAAR/3/PFAU/SERI.1B//AMAD/4/BR 18,CP08393-2E-1E-15E,1026,198,97,105,3345,
436,9,44,,s,SAAR/3/PFAU/SERI.1B//AMAD/4/BR 18,CP08393-4E-9E-4E,1015,151,112,104,3311,
437,9,45,,,SAAR/3/PFAU/SERI.1B//AMAD/4/BR 18,CP08393-4E-9E-7E,836,167,92,85,2727,
438,9,46,,,SAAR/3/PFAU/SERI.1B//AMAD/4/BR 18,CP08393-6E-4E-3E,952,142,105,97,3106,
439,9,47,,s,SAAR/3/PFAU/SERI.1B//AMAD/4/IPR 85,CP08394-4E-4E-2E,953,164,105,97,3108,
440,9,48,,,CD 150,,904,136,100,,2950,
441,9,49,,,SAAR/3/PFAU/SERI.1B//AMAD/4/IPR 85,CP08394-4E-6E-5E,832,172,92,79,2714,
442,10,49,,,SAAR/3/PFAU/SERI.1B//AMAD/4/IPR 85,CP08394-8E-3E-3E,1079,159,119,103,3520,x
443,10,48,,s,SAAR/3/PFAU/SERI.1B//AMAD/4/CD104,CP08395-9E-1E-1E,923,14,102,88,3016,
444,10,47,,s,SAAR/3/PFAU/SERI.1B//AMAD/4/CD104,CP08395-9E-1E-2E,901,165,100,86,2939,
445,10,46,,s,SAAR/3/PFAU/SERI.1B//AMAD/4/CD104,CP08395-9E-5E-5E,1053,152,116,100,3435,
446,10,45,,s,SAAR/3/PFAU/SERI.1B//AMAD/4/CD104,CP08395-9E-7E-4E,926,174,78,88,3020,
447,10,44,,1,SAAR/3/PFAU/SERI.1B//AMAD/4/CD104,CP08395-9E-7E-5E,973,134,82,93,3175,x
448,10,43,,,SAAR/3/PFAU/SERI.1B//AMAD/4/CD104,CP08395-9E-7E-11E,1167,188,98,111,3805,x
449,10,42,,s,BRBT1*2/KIRITATI/3/SRMA/TUI//BABAX,CP08445-1E-4E-8E,852,153,71,81,2779,
450,10,41,,,DON ALBERTO,,1194,151,100,,3895,
451,10,40,,1,BRBT1*2/KIRITATI/3/SRMA/TUI//BABAX,CP08445-1E-4E-13E,1014,147,85,87,3308,x
452,10,39,,1,BRBT1*2/KIRITATI/3/SRMA/TUI//BABAX,CP08445-2E-1E-1E,918,153,77,78,2995,
453,10,38,,,NOGAL/KASORO3,CP09384-6Y-7E-7E,945,148,79,81,3083,
454,10,37,,,NOGAL/KASORO3,CP09384-6Y-7E-9E,944,151,79,81,3080,
455,10,36,,s,NOGAL/KASORO3,CP09384-9Y-1E-3E,1052,149,88,90,3432,
456,10,35,,,NOGAL/KASORO3,CP09384-9Y-4E-12E,1017,152,89,87,3318,
457,10,34,,2,NOGAL/KASORO3,CP09384-13Y-2E-11E,1375,153,120,117,4486,x
458,10,33,,1,NOGAL/ALSEN,CP09385-4Y-1E-1E,1188,149,104,101,3876,x
459,10,32,,1,NOGAL/ALSEN,CP09385-4Y-1E-2E,1100,155,96,94,3588,
460,10,31,,,ITAPUA 75,,1147,153,100,,3742,
461,10,30,,,NOGAL/ALSEN,CP09385-9Y-2E-3E,1222,156,107,101,3986,x
462,10,29,,,NOGAL/ALSEN,CP09385-9Y-5E-3E,1154,154,101,95,3765,x
463,10,28,,s,NOGAL/CD 104,CP09386-4Y-8E-5E,1152,163,100,95,3758,x
464,10,27,,,NOGAL/CD 104,CP09386-8Y-2E-6E,1080,161,94,89,3523,x
465,10,26,,,NOGAL/CD 104,CP09386-11Y-5E-4E,1133,157,99,93,3696,x
466,10,25,,,NOGAL/CD 117,CP09392-1Y-6E-1E,932,155,73,77,3040,
467,10,24,,,NOGAL/CD 117,CP09392-1Y-6E-2E,1057,154,83,87,3448,
468,10,23,,,NOGAL/CD 117,CP09392-1Y-9E-2E,824,178,65,68,2687,
469,10,22,,s,NOGAL/CD 117,CP09392-8Y-1E-5E,1006,154,79,83,3282,
470,10,21,,,ITAPUA 85,,1277,159,100,,4166,
471,10,20,,2,NOGAL/CD 117,CP09392-8Y-5E-3E,1278,152,100,98,4169,x
472,10,19,,1,NOGAL/CD 117,CP09392-8Y-5E-7E,1147,156,90,88,3742,x
473,10,18,2,2,NOGAL/CD 117,CP09392-8Y-5E-8E,1236,163,97,95,4032,x
474,10,17,,,NOGAL/CD 117,CP09392-8Y-5E-9E,1222,154,96,94,3986,x
475,10,16,,,NOGAL/CD 117,CP09392-8Y-5E-10E,1320,160,103,101,4306,x
476,10,15,,,NOGAL/CD 117,CP09392-8Y-6E-1E,1340,160,101,103,4371,x
477,10,14,,,NOGAL/CD 117,CP09392-8Y-6E-2E,1297,156,97,99,4231,x
478,10,13,,1,NOGAL/4/TRAP#1/BOW//PFAU/3/MILAN,CP09394-1Y-4E-1E,1306,161,98,100,4260,x
479,10,12,,1,NOGAL/4/TRAP#1/BOW//PFAU/3/MILAN,CP09394-2Y-4E-5E,1099,158,83,84,3585,
480,10,11,,,CANINDE 21,,1331,156,100,,4342,3343-4342
481,10,10,,1,NOGAL/4/TRAP#1/BOW//PFAU/3/MILAN,CP09394-4Y-4E-2E,1284,172,96,104,4188,x
482,10,9,,1,NOGAL/Itapúa 75,CP09396-5Y-5E-6E,987,157,74,80,3220,
483,10,8,,2,NOGAL/Itapúa 75,CP09396-5Y-5E-8E,1062,163,80,86,3464,
484,10,7,,,NOGAL/Itapúa 75,CP09396-5Y-6E-4E,1084,151,81,88,3536,x
485,10,6,,,NOGAL/Itapúa 75,CP09396-5Y-6E-6E,1102,162,83,89,3595,x
486,10,5,,1,NOGAL/Itapúa 75,CP09396-5Y-6E-10E,1240,158,109,101,4045,x
487,10,4,,1,NOGAL/Itapúa 75,CP09396-5Y-6E-11E,1207,161,107,98,3937,x
488,10,3,1,1,NOGAL/Itapúa 75,CP09396-5Y-6E-12E,1191,147,105,97,3886,x
489,10,2,,1,NOGAL/Itapúa 75,CP09396-8Y-3E-1E,1464,184,129,119,4774,x
490,10,1,,,CD 150,,1133,156,100,,3696,
491,11,1,,,NOGAL/Itapúa 75,CP09396-9Y-9E-3E,1292,161,114,110,4214,x
492,11,2,,s,NOGAL/Itapúa 75,CP09396-10Y-1E-1E,1303,159,115,111,4250,x
493,11,3,,1,NOGAL/Itapúa 75,CP09396-10Y-3E-2E,1393,169,123,118,4543,x
494,11,4,,1,NOGAL/Itapúa 75,CP09396-10Y-5E-1E,1395,166,123,118,4550,x
495,11,5,,1,NOGAL/Itapúa 75,CP09396-10Y-5E-3E,1385,169,122,118,4517,x
496,11,6,1,2,Itapúa 45/Itapúa 40//ALSEN,CP09227-5Y-5E-2E,1438,153,118,122,4691,x
497,11,7,1,2,Itapúa 45/Itapúa 40//ALSEN,CP09227-5Y-6E-13E,1546,171,127,131,5042,x
498,11,8,,,Itapúa 45/Itapúa 40//ALSEN,CP09227-8Y-5E-2E,1213,168,99,103,3956,x
499,11,9,,,Itapúa 45/Itapúa 40//ALSEN,CP09227-8Y-5E-3E,1212,166,99,103,3953,x
500,11,10,,,DON ALBERTO,,1222,163,100,,3986,
501,11,11,,s,Itapúa 45/Itapúa 40//ALSEN,CP09227-8Y-5E-5E,1236,162,101,109,4032,x
502,11,12,,1,Itapúa 45/Itapúa 40//ALSEN,CP09227-11Y-1E-13E,1117,164,91,99,3643,x
503,11,13,,s,Itapúa 45/Itapúa 40//ALSEN,CP09227-12Y-1E-1E,1092,153,89,96,3562,x
504,11,14,,1,Itapúa 45/Itapúa 40//ALSEN,CP09227-12Y-7E-4E,1175,164,96,104,3833,x
505,11,15,,s,Itapúa 45/Itapúa 40//ALSEN,CP09227-13Y-2E-10E,1166,175,95,103,3803,x
506,11,16,,s,Itapúa 45/Itapúa 40//ALSEN,CP09227-13Y-2E-11E,1114,162,107,98,3634,
507,11,17,,s,Itapúa 45/Itapúa 40//ALSEN,CP09227-13Y-5E-10E,1194,154,114,105,3895,x
508,11,18,,,Itapúa 45/Itapúa 40//ALSEN,CP09227-14Y-1E-8E,1318,157,126,116,4299,x
509,11,19,,,Itapúa 45/Itapúa 40//ALSEN,CP09227-14Y-5E-1E,1184,164,113,105,3862,x
510,11,20,,,ITAPUA 75,,1043,144,100,,3403,
511,11,21,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-4E-9E,1003,151,96,90,3272,
512,11,22,1,s,ONIX//MILAN/AMSEL,CP08261-18E-0E-5E-1E,1044,143,100,94,3406,
513,11,23,,s,ONIX//MILAN/AMSEL,CP08261-18E-0E-5E-2E,997,147,96,89,3253,
514,11,24,,s,ONIX//MILAN/AMSEL,CP08261-18E-0E-5E-3E,991,156,95,89,3233,
515,11,25,,,ONIX//MILAN/AMSEL,CP08261-18E-0E-5E-4E,1025,159,98,92,3344,
